ZipCode,Cluster,Fog,Precipitation,Rain,Snow,Storm,City,State,LocationLat,LocationLng
1022.0,3,2.7804889649923896,0.05726788432267885,12.56654299847793,3.081525875190259,0.015458523592085235,Chicopee,MA,42.194,-72.5348
1085.0,3,3.559455859969559,0.06701864535768647,11.556316590563167,2.447250761035008,0.014602359208523591,Westfield,MA,42.1601,-72.7124
1201.0,1,4.239345509893456,0.0761986301369863,10.301940639269407,5.2271689497716896,0.006516362252663624,Pittsfield,MA,42.4269,-73.289
1247.0,3,2.0870909436834095,0.08761415525114155,11.103072678843228,4.733637747336378,0.010511796042617962,North Adams,MA,42.6973,-73.1696
1364.0,3,4.849315068493151,0.06901636225266362,10.898734779299849,2.844891552511416,0.0006183409436834095,Orange,MA,42.57,-72.2869
1420.0,3,2.2223649162861494,0.0686834094368341,11.075722983257231,3.0201674277016743,0.002853881278538813,Fitchburg,MA,42.5519,-71.7558
1602.0,3,6.7824866818873675,0.07857686453576866,10.707810121765602,3.1061168188736685,0.02958523592085236,Worcester,MA,42.2706,-71.8731
1742.0,3,3.6571537290715375,0.058124048706240494,11.671137747336378,2.787909056316591,0.006611491628614916,Concord,MA,42.4681,-71.2946
1845.0,3,2.604166666666667,0.06230974124809741,11.316923515981735,2.5753900304414006,0.02011986301369863,North Andover,MA,42.7126,-71.1255
1915.0,3,3.4895833333333335,0.047659817351598174,11.105498477929986,2.1735635464231358,0.002853881278538813,Beverly,MA,42.5841,-70.9153
2021.0,0,3.4935312024353125,0.5312975646879756,4.800038051750381,0.9470129375951294,0.04661339421613394,Canton,MA,42.2121,-71.1142
2050.0,0,3.688403729071538,0.04661339421613394,5.9315544140030445,1.5166000761035008,0.002853881278538813,Marshfield,MA,42.0983,-70.6722
2062.0,3,5.27863394216134,0.07267884322678843,9.68455098934551,2.364393074581431,0.0009512937595129378,Norwood,MA,42.1912,-71.1733
2128.0,3,1.9950057077625571,0.07505707762557079,12.929461567732117,2.4653729071537294,0.0982210806697108,East Boston,MA,42.3606,-71.0097
2360.0,3,3.1815068493150687,0.05293949771689498,12.129946727549466,1.9590468036529682,0.018692922374429224,Plymouth,MA,41.9085,-70.7279
2542.0,3,5.442684550989346,0.0,7.443445585996956,1.783866057838661,0.1766552511415525,Sandwich,MA,41.6584,-70.5214
2554.0,2,11.09037290715373,0.028919330289193305,9.935502283105023,1.307410578386606,0.3080289193302892,Nantucket,MA,41.253,-70.061
2568.0,3,7.127378234398783,0.023592085235920858,11.820538432267886,1.3418474124809743,0.09375000000000001,Vineyard Haven,MA,41.393,-70.6159
2601.0,3,5.482163242009133,0.03638698630136986,12.475123668188738,1.7031012176560123,0.018027016742770168,Hyannis,MA,41.672,-70.2697
2633.0,3,7.115201674277016,0.03110730593607306,12.7976598173516,1.8734303652968038,0.0,Chatham,MA,41.6875,-69.9933
2657.0,3,3.243673896499239,0.09612823439878235,12.575485159817353,1.70880898021309,0.24947678843226787,Provincetown,MA,42.0744,-70.2182
2718.0,3,4.156725646879757,0.05683980213089803,12.325342465753426,1.7497146118721463,0.0,East Taunton,MA,41.8756,-71.0211
2745.0,3,3.5391933028919333,0.039764079147640796,11.264079147640793,1.7873382800608828,0.0282058599695586,New Bedford,MA,41.6791,-70.9591
2807.0,3,4.809931506849316,0.0418093607305936,11.374096270928463,1.0118436073059363,0.0290144596651446,Block Island,RI,41.1695,-71.5787
2842.0,3,5.996385083713851,0.03862252663622527,11.114821156773212,1.517123287671233,0.005469939117199391,Middletown,RI,41.5324,-71.2815
2852.0,3,2.8711472602739727,0.0,9.743721461187215,1.3675323439878235,0.06992009132420092,North Kingstown,RI,41.5971,-71.4121
2886.0,3,2.968654870624049,0.056792237442922375,13.670757229832574,2.201293759512938,0.024638508371385082,Warwick,RI,41.7225,-71.4325
2891.0,3,5.428082191780822,0.18721461187214616,10.595747716894978,1.407867199391172,0.0009512937595129377,Westerly,RI,41.3509,-71.8054
2917.0,3,2.725218797564688,0.07025304414003045,11.747716894977168,2.315353881278539,0.002853881278538813,Smithfield,RI,41.9208,-71.4914
3063.0,3,1.550561263318113,0.09584284627092847,11.620005707762559,3.698011796042618,0.006040715372907154,Nashua,NH,42.7798,-71.5141
3103.0,3,2.9241818873668195,0.04490106544901066,11.379090563165907,3.3174467275494677,0.0004756468797564688,Manchester,NH,42.9296,-71.4356
3249.0,3,2.1044520547945207,0.06573439878234398,10.84888698630137,5.197488584474886,0.0010464231354642313,Gilford,NH,43.5727,-71.4189
3264.0,1,6.2404870624048705,0.12842465753424656,10.710616438356166,7.1689497716894985,0.0,Plymouth,NH,43.7771,-71.756
3301.0,3,3.960426179604262,0.06430745814307458,9.498049847793,3.1289478691019794,0.002853881278538813,Concord,NH,43.2049,-71.5026
3431.0,3,5.132134703196347,0.04642313546423135,10.709617579908677,4.47127092846271,0.0,Keene,NH,42.8984,-72.2708
3452.0,3,3.0725361491628616,0.054461567732115676,10.374714611872147,3.954861111111111,0.0,Jaffrey,NH,42.8067,-72.0013
3588.0,1,7.239773592085236,0.030821917808219183,10.18488394216134,9.312214611872147,0.0,Milan,NH,44.5754,-71.1759
3598.0,1,3.792142313546423,0.044520547945205484,9.868864155251142,7.881326103500762,0.0,Whitefield,NH,44.3659,-71.5522
3784.0,3,5.94254185692542,0.05108447488584475,9.633181126331811,4.353358066971081,0.0,West Lebanon,NH,43.6271,-72.3054
3801.0,3,4.022926179604262,0.02715943683409437,12.48592085235921,3.3727644596651447,0.002473363774733638,Portsmouth,NH,43.0779,-70.8233
